SessionId	Time	ItemId	is_click	raw_index	session_new_index	item_new_index	tr_val_tst
-1uHj8BXeT_bR8YTWVNLyQ	0	3-Bm90nXNtwLFyDtlj9olQ	0	0	0	0	0
-1uHj8BXeT_bR8YTWVNLyQ	0	9SU7ZZhaFUJJ6m2k5HKHeg	1	1	0	1	0
-3lAYjj4QRSKCD5-4E0D0A	1	xy0vS-A2FHwAx1dfGOuPEA	0	11	1	2	0
-3lAYjj4QRSKCD5-4E0D0A	1	N99wwEGGeJBCoVCKnZoo5w	0	12	1	3	0
-3lAYjj4QRSKCD5-4E0D0A	1	urgjbqhtZD20G5h3XM76wQ	1	13	1	4	0
-4Fg8DyFRhSeqZsVFKHeew	2	0nC6DvVibGPKwMp65WiU7A	0	14	2	5	0
-4Fg8DyFRhSeqZsVFKHeew	2	e4qQlNEop42LoFBwv71dVw	0	15	2	6	0
-4Fg8DyFRhSeqZsVFKHeew	2	3nudXkhgKYY92Wc8rQxxSg	1	16	2	7	0
-Ae21lyL5DOOtwAbgyzcVg	3	xy0vS-A2FHwAx1dfGOuPEA	0	18	3	2	0
-Ae21lyL5DOOtwAbgyzcVg	3	N99wwEGGeJBCoVCKnZoo5w	1	19	3	3	0
-AhfnT-CsLrz086BBfH_gA	4	uQ7LZpcYRTcibzK1w9E5uQ	0	21	4	8	0
-AhfnT-CsLrz086BBfH_gA	4	ftvZ6BVmbZndKcVPEdakIQ	0	22	4	9	0
-AhfnT-CsLrz086BBfH_gA	4	LKmOswrcIGnh3cxWJdlvoQ	1	23	4	10	0
-DCvOFJD1rDqF_J6gZ4fxA	5	shyfjdfPysUWqNV5Z-ho5Q	0	25	5	11	0
-DCvOFJD1rDqF_J6gZ4fxA	5	jNhxnj9j_spThcSzJMaeTw	0	26	5	12	0
-DCvOFJD1rDqF_J6gZ4fxA	5	JcTIqoWO83FfEI9PJJHMfw	0	27	5	13	0
-DCvOFJD1rDqF_J6gZ4fxA	5	lG_C2J7G5YxL6lj7K9hfrQ	0	28	5	14	0
-DCvOFJD1rDqF_J6gZ4fxA	5	gPgE8Mrkskj5TnI_I7Ll3A	0	29	5	15	0
-DCvOFJD1rDqF_J6gZ4fxA	5	7BoijkYw3q7OcoIYrpy-Lw	0	30	5	16	0
-DCvOFJD1rDqF_J6gZ4fxA	5	NhT6za-Rn75aa73p_Kj_0Q	1	31	5	17	0
-ErSHtU5xRP5PoUVgLEZmQ	6	0xxW5PmeFV1MWkvDwU7XaQ	0	36	6	18	0
-ErSHtU5xRP5PoUVgLEZmQ	6	oeW0vIYd3rUnAPgmD4fEFg	0	37	6	19	0
-ErSHtU5xRP5PoUVgLEZmQ	6	oJsfjG1uh6jopK6Kc-3pdQ	1	38	6	20	0
-Ogn_oM1QovgJJfRhMf4Mw	7	0xxW5PmeFV1MWkvDwU7XaQ	0	39	7	18	0
-Ogn_oM1QovgJJfRhMf4Mw	7	oeW0vIYd3rUnAPgmD4fEFg	1	40	7	19	0
-RFQ8i8ENi7B9d9oPHd_wA	8	zsYYAnHEs5qzsfazSsGkBw	0	42	8	21	0
-RFQ8i8ENi7B9d9oPHd_wA	8	LHfvOfPwLVC9ZhYZ6G3pNA	0	43	8	22	0
-RFQ8i8ENi7B9d9oPHd_wA	8	0ahghcpWQVkm4lEFwx-peA	0	44	8	23	0
-RFQ8i8ENi7B9d9oPHd_wA	8	hRQS8y-uG2kc8miWVYiLuQ	0	45	8	24	0
-RFQ8i8ENi7B9d9oPHd_wA	8	i0mkpJFYJizVsOSfsivRVg	0	46	8	25	0
-RFQ8i8ENi7B9d9oPHd_wA	8	H6hZAZ-jx0CjV4d276mppA	0	47	8	26	0
-RFQ8i8ENi7B9d9oPHd_wA	8	HVyPxjL9R-hSFek2l-bGRQ	0	48	8	27	0
-RFQ8i8ENi7B9d9oPHd_wA	8	LUmwRZzVKZ9CM7F_yH_nDQ	0	49	8	28	0
-RFQ8i8ENi7B9d9oPHd_wA	8	L-q2fn9CDKmWX5c2hXUD5w	1	50	8	29	0
-RNXRNwEqJpIvGxf6XrtnQ	9	7tfTtZdTBWM49p3jg0Xb_g	0	53	9	30	0
-RNXRNwEqJpIvGxf6XrtnQ	9	k10rQp_ZRcXW63Fxxkojcw	0	54	9	31	0
-RNXRNwEqJpIvGxf6XrtnQ	9	I3STZd5iAvUL9MNLF_DUug	1	55	9	32	0
-ZL4zqA4P75FhQ6wAN2YEw	10	8jLZiv202Cfx_RbTuPOwxQ	0	56	10	33	0
-ZL4zqA4P75FhQ6wAN2YEw	10	r8Jr-7YfkhJL2nxk9lxUNg	0	57	10	34	0
-ZL4zqA4P75FhQ6wAN2YEw	10	JMq0dz_jb6SUEvhhON6mqw	0	58	10	35	0
-ZL4zqA4P75FhQ6wAN2YEw	10	mvLdgkwBzqllHWHwS-ZZgQ	0	59	10	36	0
-ZL4zqA4P75FhQ6wAN2YEw	10	EBztj5xrp6JLisU1vEuYkA	1	60	10	37	0
-dscVp1U9VdOxcCyeXR2QA	11	f2FfutZhb4F-m1Ob0EdYaw	1	67	11	38	0
-fBnUT4hBRbN-S5Ai4Ipbw	12	xy0vS-A2FHwAx1dfGOuPEA	1	73	12	2	0
-gOJQuk5GU6bl3PFcpMdgA	13	dn_ipqbm7_jUz5X3rDez_A	0	77	13	39	0
-gOJQuk5GU6bl3PFcpMdgA	13	qrjRRBOUmN7MFxBQNuJZIA	0	78	13	40	0
-gOJQuk5GU6bl3PFcpMdgA	13	dGLkAIlllr-h24f2gQhbqg	0	79	13	41	0
-gOJQuk5GU6bl3PFcpMdgA	13	dcqHjnmKPDdOseYEo6SdAw	0	80	13	42	0
-gOJQuk5GU6bl3PFcpMdgA	13	w55sCX7ZkLIJNhl_RhwjEg	0	81	13	43	0
-gOJQuk5GU6bl3PFcpMdgA	13	FoLaxhgAf0MjObrN34SeBQ	0	82	13	44	0
-gOJQuk5GU6bl3PFcpMdgA	13	BLIJ-p5wYuAhw6Pp6mh6mw	0	83	13	45	0
-gOJQuk5GU6bl3PFcpMdgA	13	7ctSkwRP5GWYHJ9mYBjARQ	0	84	13	46	0
-gOJQuk5GU6bl3PFcpMdgA	13	k_BaE5Mxos5mdp_YNQXyuw	0	85	13	47	0
-gOJQuk5GU6bl3PFcpMdgA	13	f9sU31meK0bqAD7922sCog	1	86	13	48	0
-nz0wxpNjlNzS6ttpcXurA	14	6epgkxD-3i_w5jLT1AvHqg	0	87	14	49	0
-nz0wxpNjlNzS6ttpcXurA	14	LUmwRZzVKZ9CM7F_yH_nDQ	0	88	14	28	0
-nz0wxpNjlNzS6ttpcXurA	14	Q9v3zXGR2TduAKzn5B1BhQ	0	89	14	50	0
-nz0wxpNjlNzS6ttpcXurA	14	UX1mbYnDnod1XHf_UBvH8A	0	90	14	51	0
-nz0wxpNjlNzS6ttpcXurA	14	8ATyzMAUKUCBnjJ7wpLnpw	0	91	14	52	0
-nz0wxpNjlNzS6ttpcXurA	14	DLJCwHGtbAV31UQ1lnIjlw	0	92	14	53	0
-nz0wxpNjlNzS6ttpcXurA	14	HZrvNH7VTHUDcYqwF1B8jQ	0	93	14	54	0
-nz0wxpNjlNzS6ttpcXurA	14	PLVJCN2p1MIkeDzIbAx9kA	0	94	14	55	0
-nz0wxpNjlNzS6ttpcXurA	14	jLxeBgWhLRbII2ACkgH1Sg	1	95	14	56	0
-ouzfV5nm0Fmv3JRLXegmQ	15	0jtRI7hVMpQHpUVtUy4ITw	1	98	15	57	0
-ouzfV5nm0Fmv3JRLXegmQ	16	SOnbwTTlRDRrx5F4AO8kpg	0	99	15	58	0
-ouzfV5nm0Fmv3JRLXegmQ	16	kgffcoxT6BQp-gJ-UQ7Czw	0	100	15	59	0
-ouzfV5nm0Fmv3JRLXegmQ	16	6epgkxD-3i_w5jLT1AvHqg	0	101	15	49	0
-ouzfV5nm0Fmv3JRLXegmQ	16	uPWZtFVn_xRLZi3mtWcpJg	0	102	15	60	0
-ouzfV5nm0Fmv3JRLXegmQ	16	Q9v3zXGR2TduAKzn5B1BhQ	0	103	15	50	0
-ouzfV5nm0Fmv3JRLXegmQ	16	UX1mbYnDnod1XHf_UBvH8A	0	104	15	51	0
-ouzfV5nm0Fmv3JRLXegmQ	16	9K5v7vvCCiQ5KGRhFwBbCw	0	105	15	61	0
-ouzfV5nm0Fmv3JRLXegmQ	16	DLJCwHGtbAV31UQ1lnIjlw	1	106	15	53	0
-ouzfV5nm0Fmv3JRLXegmQ	17	WyZAeMGsjUE7OToI4Jdqfw	0	111	15	62	0
